copy,tr,animal,litter,tissue
88,1,2,1,heart
143,2,2,1,heart
66,1,2,2,heart
121,2,2,2,heart
104,1,2,3,heart
189,2,2,3,heart
71,1,2,4,heart
88,2,2,4,heart
46,1,2,1,liver
86,2,2,1,liver
55,1,2,2,liver
94,2,2,2,liver
121,1,2,3,liver
203,2,2,3,liver
68,1,2,4,liver
144,2,2,4,liver
46,1,2,1,kidney
99,2,2,1,kidney
58,1,2,2,kidney
87,2,2,2,kidney
93,1,2,3,kidney
167,2,2,3,kidney
50,1,2,4,kidney
78,2,2,4,kidney
52,1,2,1,lung
91,2,2,1,lung
52,1,2,2,lung
92,2,2,2,lung
117,1,2,3,lung
201,2,2,3,lung
57,1,2,4,lung
114,2,2,4,lung
58,1,2,1,thymus
66,2,2,1,thymus
35,1,2,2,thymus
53,2,2,2,thymus
81,1,2,3,thymus
158,2,2,3,thymus
52,1,2,4,thymus
94,2,2,4,thymus
