gene,group,label,log2exp,time,replicate
142791_at,group1,A_08.cel,15.3129444695428,8,A
142356_at,group2,A_08.cel,12.2773211411075,8,A
143051_at,group2,A_08.cel,11.8392196190194,8,A
141311_at,group2,A_08.cel,9.17306008745137,8,A
141404_at,group2,A_08.cel,10.7166464705915,8,A
142200_at,group2,A_08.cel,13.4989191897315,8,A
142661_at,group3,A_08.cel,10.727850989159,8,A
142342_at,group3,A_08.cel,8.31777520355797,8,A
141251_at,group3,A_08.cel,10.1020507356706,8,A
142709_s_at,group3,A_08.cel,10.6055202544729,8,A
142798_at,group1,A_09.cel,15.4630031563309,9,A
142472_at,group1,A_09.cel,15.4467277426015,9,A
143074_at,group1,A_09.cel,15.2337992980687,9,A
143143_at,group1,A_09.cel,15.3174658299004,9,A
142791_at,group1,A_09.cel,15.3240026474064,9,A
142356_at,group2,A_09.cel,12.6160557186068,9,A
143051_at,group2,A_09.cel,12.2146169679833,9,A
141311_at,group2,A_09.cel,9.7725221255629,9,A
141404_at,group2,A_09.cel,11.4771145199681,9,A
142200_at,group2,A_09.cel,13.4785970810099,9,A
142661_at,group3,A_09.cel,10.8159582450786,9,A
142342_at,group3,A_09.cel,8.55804372406392,9,A
141251_at,group3,A_09.cel,10.5179909419054,9,A
142709_s_at,group3,A_09.cel,10.5506037089884,9,A
142798_at,group1,A_10.cel,15.4655004403133,10,A
142472_at,group1,A_10.cel,15.4492224133765,10,A
143074_at,group1,A_10.cel,15.2339263892862,10,A
143143_at,group1,A_10.cel,15.3199631138828,10,A
142791_at,group1,A_10.cel,15.3264999313888,10,A
142356_at,group2,A_10.cel,13.3892894591735,10,A
143051_at,group2,A_10.cel,12.621680990267,10,A
141311_at,group2,A_10.cel,12.901102262412,10,A
141404_at,group2,A_10.cel,13.8650619207083,10,A
142200_at,group2,A_10.cel,13.5960251882402,10,A
142661_at,group3,A_10.cel,11.6939886925924,10,A
142342_at,group3,A_10.cel,8.21571071227621,10,A
141251_at,group3,A_10.cel,12.6326487163031,10,A
142709_s_at,group3,A_10.cel,10.8508843448074,10,A
142798_at,group1,A_11.cel,15.4621633781327,11,A
142472_at,group1,A_11.cel,15.446255425789,11,A
143074_at,group1,A_11.cel,15.3318331997211,11,A
143143_at,group1,A_11.cel,15.3236069385902,11,A
142791_at,group1,A_11.cel,15.329817128046,11,A
142356_at,group2,A_11.cel,13.7262256595025,11,A
143051_at,group2,A_11.cel,12.6449007876156,11,A
141311_at,group2,A_11.cel,14.0518443506736,11,A
141404_at,group2,A_11.cel,14.537929535035,11,A
142200_at,group2,A_11.cel,13.5477745681964,11,A
142661_at,group3,A_11.cel,11.9831819215667,11,A
142342_at,group3,A_11.cel,8.55834856552364,11,A
141251_at,group3,A_11.cel,12.9901221658667,11,A
142709_s_at,group3,A_11.cel,11.1189605855664,11,A
142798_at,group1,A_12.cel,15.4606640513134,12,A
142472_at,group1,A_12.cel,15.453617924522,12,A
143074_at,group1,A_12.cel,15.3535829088006,12,A
143143_at,group1,A_12.cel,15.321126661223,12,A
142791_at,group1,A_12.cel,15.3582796610792,12,A
142356_at,group2,A_12.cel,14.0012223564918,12,A
143051_at,group2,A_12.cel,12.3857600793383,12,A
141311_at,group2,A_12.cel,14.2856168756428,12,A
141404_at,group2,A_12.cel,14.5036328475612,12,A
142200_at,group2,A_12.cel,13.6060712853105,12,A
142661_at,group3,A_12.cel,12.3165033140878,12,A
142342_at,group3,A_12.cel,8.6746432028219,12,A
141251_at,group3,A_12.cel,12.7925438769381,12,A
142709_s_at,group3,A_12.cel,11.7437140344801,12,A
142798_at,group1,B_01.cel,15.427197898439,1,B
142472_at,group1,B_01.cel,15.3636230691316,1,B
143074_at,group1,B_01.cel,15.3724769214595,1,B
143143_at,group1,B_01.cel,14.7724742360557,1,B
142791_at,group1,B_01.cel,15.0418522768505,1,B
142356_at,group2,B_01.cel,6.93292887150742,1,B
143051_at,group2,B_01.cel,6.92206353357232,1,B
141311_at,group2,B_01.cel,8.56519699069823,1,B
141404_at,group2,B_01.cel,9.28059941200615,1,B
142200_at,group2,B_01.cel,8.79389444227087,1,B
142661_at,group3,B_01.cel,13.4255386639283,1,B
142342_at,group3,B_01.cel,11.3325941136207,1,B
141251_at,group3,B_01.cel,12.2576947452715,1,B
142709_s_at,group3,B_01.cel,13.49414257855,1,B
142798_at,group1,B_02.cel,15.4607145501335,2,B
142472_at,group1,B_02.cel,15.4244207337231,2,B
143074_at,group1,B_02.cel,15.4614401911809,2,B
143143_at,group1,B_02.cel,15.2838858236859,2,B
142791_at,group1,B_02.cel,15.109745462519,2,B
142356_at,group2,B_02.cel,7.38797084760745,2,B
143051_at,group2,B_02.cel,6.27295005096213,2,B
141311_at,group2,B_02.cel,8.14156831633444,2,B
141404_at,group2,B_02.cel,9.08833811035336,2,B
142200_at,group2,B_02.cel,9.20168481784352,2,B
142661_at,group3,B_02.cel,13.7484410656749,2,B
142342_at,group3,B_02.cel,11.4187119575867,2,B
141251_at,group3,B_02.cel,13.1582798189275,2,B
142709_s_at,group3,B_02.cel,13.6381964812617,2,B
142798_at,group1,B_03.cel,15.4662919170676,3,B
142472_at,group1,B_03.cel,15.4356301294241,3,B
143074_at,group1,B_03.cel,15.36603832522,3,B
143143_at,group1,B_03.cel,15.2827270622529,3,B
142791_at,group1,B_03.cel,15.2496888457657,3,B
142356_at,group2,B_03.cel,7.4388158114696,3,B
143051_at,group2,B_03.cel,7.19894000949492,3,B
141311_at,group2,B_03.cel,8.37624625716684,3,B
141404_at,group2,B_03.cel,8.93299240426469,3,B
142200_at,group2,B_03.cel,10.1478298909114,3,B
142661_at,group3,B_03.cel,12.8707623761338,3,B
142342_at,group3,B_03.cel,9.51007049604617,3,B
141251_at,group3,B_03.cel,13.0489571229388,3,B
142709_s_at,group3,B_03.cel,13.4131733369634,3,B
142798_at,group1,B_04.cel,15.4645985144358,4,B
142472_at,group1,B_04.cel,15.448320487499,4,B
143074_at,group1,B_04.cel,15.409846661735,4,B
143143_at,group1,B_04.cel,15.3307339581439,4,B
142791_at,group1,B_04.cel,15.2514847764074,4,B
142356_at,group2,B_04.cel,8.05726748470109,4,B
143051_at,group2,B_04.cel,8.17976588849682,4,B
141311_at,group2,B_04.cel,8.24845636359225,4,B
141404_at,group2,B_04.cel,9.30384773859809,4,B
142200_at,group2,B_04.cel,11.4795200909087,4,B
142661_at,group3,B_04.cel,9.92845714379337,4,B
142342_at,group3,B_04.cel,8.65427561049798,4,B
141251_at,group3,B_04.cel,12.3216405981837,4,B
142709_s_at,group3,B_04.cel,12.7162864456715,4,B
142798_at,group1,B_05.cel,15.4651263666922,5,B
142472_at,group1,B_05.cel,15.4488483397554,5,B
143074_at,group1,B_05.cel,15.4014253983882,5,B
143143_at,group1,B_05.cel,15.3491118103457,5,B
